m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","83"
"2008-08-01 00:00:00","c#","507"
"2008-08-01 00:00:00","c++","163"
"2008-08-01 00:00:00","delphi","14"
"2008-08-01 00:00:00","java","222"
"2008-08-01 00:00:00","javascript","164"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","160"
"2008-08-01 00:00:00","python","121"
"2008-08-01 00:00:00","ruby","70"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1648"
"2008-09-01 00:00:00","c++","754"
"2008-09-01 00:00:00","delphi","105"
"2008-09-01 00:00:00","java","1136"
"2008-09-01 00:00:00","javascript","639"
"2008-09-01 00:00:00","perl","131"
"2008-09-01 00:00:00","php","480"
"2008-09-01 00:00:00","python","538"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","288"
"2008-10-01 00:00:00","assembly","15"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1990"
"2008-10-01 00:00:00","c++","810"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1154"
"2008-10-01 00:00:00","javascript","726"
"2008-10-01 00:00:00","perl","127"
"2008-10-01 00:00:00","php","615"
"2008-10-01 00:00:00","python","508"
"2008-10-01 00:00:00","ruby","249"
"2008-11-01 00:00:00","assembly","17"
"2008-11-01 00:00:00","c","259"
"2008-11-01 00:00:00","c#","1733"
"2008-11-01 00:00:00","c++","734"
"2008-11-01 00:00:00","delphi","141"
"2008-11-01 00:00:00","java","958"
"2008-11-01 00:00:00","javascript","579"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","502"
"2008-11-01 00:00:00","python","452"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","159"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","189"
"2008-12-01 00:00:00","c#","1596"
"2008-12-01 00:00:00","c++","632"
"2008-12-01 00:00:00","delphi","134"
"2008-12-01 00:00:00","java","829"
"2008-12-01 00:00:00","javascript","626"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","480"
"2008-12-01 00:00:00","python","439"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","161"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","321"
"2009-01-01 00:00:00","c#","2378"
"2009-01-01 00:00:00","c++","851"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1149"
"2009-01-01 00:00:00","javascript","792"
"2009-01-01 00:00:00","perl","148"
"2009-01-01 00:00:00","php","635"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","207"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","37"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2599"
"2009-02-01 00:00:00","c++","843"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1208"
"2009-02-01 00:00:00","javascript","948"
"2009-02-01 00:00:00","perl","165"
"2009-02-01 00:00:00","php","766"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","9"
"2009-02-01 00:00:00","ruby","287"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","430"
"2009-03-01 00:00:00","c#","3163"
"2009-03-01 00:00:00","c++","1052"
"2009-03-01 00:00:00","delphi","162"
"2009-03-01 00:00:00","java","1438"
"2009-03-01 00:00:00","javascript","1007"
"2009-03-01 00:00:00","perl","138"
"2009-03-01 00:00:00","php","901"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","330"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","457"
"2009-04-01 00:00:00","c#","3312"
"2009-04-01 00:00:00","c++","1018"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1532"
"2009-04-01 00:00:00","javascript","1049"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","963"
"2009-04-01 00:00:00","python","767"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","358"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","480"
"2009-05-01 00:00:00","c#","3554"
"2009-05-01 00:00:00","c++","1216"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1816"
"2009-05-01 00:00:00","javascript","1433"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1177"
"2009-05-01 00:00:00","python","998"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","402"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","49"
"2009-06-01 00:00:00","c","502"
"2009-06-01 00:00:00","c#","3880"
"2009-06-01 00:00:00","c++","1252"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2113"
"2009-06-01 00:00:00","javascript","1557"
"2009-06-01 00:00:00","perl","247"
"2009-06-01 00:00:00","php","1578"
"2009-06-01 00:00:00","python","1043"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","432"
"2009-06-01 00:00:00","swift","1"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","540"
"2009-07-01 00:00:00","c#","4408"
"2009-07-01 00:00:00","c++","1465"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2257"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","258"
"2009-07-01 00:00:00","php","2028"
"2009-07-01 00:00:00","python","1161"
"2009-07-01 00:00:00","r","51"
"2009-07-01 00:00:00","ruby","500"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","530"
"2009-08-01 00:00:00","c#","4456"
"2009-08-01 00:00:00","c++","1400"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2190"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","251"
"2009-08-01 00:00:00","php","2185"
"2009-08-01 00:00:00","python","1138"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","485"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4351"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2262"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","perl","249"
"2009-09-01 00:00:00","php","2265"
"2009-09-01 00:00:00","python","1165"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","74"
"2009-10-01 00:00:00","c","776"
"2009-10-01 00:00:00","c#","4724"
"2009-10-01 00:00:00","c++","1685"
"2009-10-01 00:00:00","delphi","255"
"2009-10-01 00:00:00","java","2505"
"2009-10-01 00:00:00","javascript","2044"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2360"
"2009-10-01 00:00:00","python","1420"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","493"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","959"
"2009-11-01 00:00:00","c#","4680"
"2009-11-01 00:00:00","c++","1750"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2760"
"2009-11-01 00:00:00","javascript","2229"
"2009-11-01 00:00:00","perl","323"
"2009-11-01 00:00:00","php","2687"
"2009-11-01 00:00:00","python","1554"
"2009-11-01 00:00:00","r","94"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","850"
"2009-12-01 00:00:00","c#","4486"
"2009-12-01 00:00:00","c++","1653"
"2009-12-01 00:00:00","delphi","282"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2686"
"2009-12-01 00:00:00","javascript","2308"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2828"
"2009-12-01 00:00:00","python","1588"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","573"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","101"
"2010-01-01 00:00:00","c","980"
"2010-01-01 00:00:00","c#","5113"
"2010-01-01 00:00:00","c++","2000"
"2010-01-01 00:00:00","delphi","303"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3727"
"2010-01-01 00:00:00","javascript","2623"
"2010-01-01 00:00:00","perl","302"
"2010-01-01 00:00:00","php","3434"
"2010-01-01 00:00:00","python","1946"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","684"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5097"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3576"
"2010-02-01 00:00:00","javascript","2639"
"2010-02-01 00:00:00","perl","348"
"2010-02-01 00:00:00","php","3166"
"2010-02-01 00:00:00","python","1863"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1114"
"2010-03-01 00:00:00","c#","6034"
"2010-03-01 00:00:00","c++","2435"
"2010-03-01 00:00:00","delphi","318"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4444"
"2010-03-01 00:00:00","javascript","2988"
"2010-03-01 00:00:00","perl","392"
"2010-03-01 00:00:00","php","3747"
"2010-03-01 00:00:00","python","2073"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","695"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1183"
"2010-04-01 00:00:00","c#","5780"
"2010-04-01 00:00:00","c++","2490"
"2010-04-01 00:00:00","delphi","271"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3888"
"2010-04-01 00:00:00","javascript","3007"
"2010-04-01 00:00:00","perl","364"
"2010-04-01 00:00:00","php","3647"
"2010-04-01 00:00:00","python","1813"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1181"
"2010-05-01 00:00:00","c#","5932"
"2010-05-01 00:00:00","c++","2421"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4170"
"2010-05-01 00:00:00","javascript","3231"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3992"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","776"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","91"
"2010-06-01 00:00:00","c","1155"
"2010-06-01 00:00:00","c#","6147"
"2010-06-01 00:00:00","c++","2825"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4283"
"2010-06-01 00:00:00","javascript","3471"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4092"
"2010-06-01 00:00:00","python","2206"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","853"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","97"
"2010-07-01 00:00:00","c","1288"
"2010-07-01 00:00:00","c#","6683"
"2010-07-01 00:00:00","c++","2686"
"2010-07-01 00:00:00","delphi","334"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4517"
"2010-07-01 00:00:00","javascript","3880"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4602"
"2010-07-01 00:00:00","python","2595"
"2010-07-01 00:00:00","r","234"
"2010-07-01 00:00:00","ruby","912"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1365"
"2010-08-01 00:00:00","c#","6964"
"2010-08-01 00:00:00","c++","2636"
"2010-08-01 00:00:00","delphi","354"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4706"
"2010-08-01 00:00:00","javascript","4001"
"2010-08-01 00:00:00","perl","547"
"2010-08-01 00:00:00","php","5141"
"2010-08-01 00:00:00","python","2491"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","995"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1377"
"2010-09-01 00:00:00","c#","6407"
"2010-09-01 00:00:00","c++","2736"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4718"
"2010-09-01 00:00:00","javascript","3996"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4697"
"2010-09-01 00:00:00","python","2249"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","936"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1442"
"2010-10-01 00:00:00","c#","6738"
"2010-10-01 00:00:00","c++","2934"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5028"
"2010-10-01 00:00:00","javascript","4113"
"2010-10-01 00:00:00","perl","499"
"2010-10-01 00:00:00","php","4517"
"2010-10-01 00:00:00","python","2673"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","925"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","165"
"2010-11-01 00:00:00","c","1675"
"2010-11-01 00:00:00","c#","7318"
"2010-11-01 00:00:00","c++","3375"
"2010-11-01 00:00:00","delphi","390"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5599"
"2010-11-01 00:00:00","javascript","4548"
"2010-11-01 00:00:00","perl","465"
"2010-11-01 00:00:00","php","5114"
"2010-11-01 00:00:00","python","2606"
"2010-11-01 00:00:00","r","242"
"2010-11-01 00:00:00","ruby","929"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","126"
"2010-12-01 00:00:00","c","1469"
"2010-12-01 00:00:00","c#","7109"
"2010-12-01 00:00:00","c++","3137"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
